boot,ts,seconds,lux,kelvin,voltage,temp,humidity
0,1622479512,1,5.16,2905,824,27.30,55
1,1622479523,21,4.26,2800,818,27.30,55
2,1622479549,21,4.83,2904,898,,
3,1622479549,42,3.19,2916,898,,
4,1622479549,63,4.56,2816,898,,
5,1622479549,84,2.73,2711,898,,
6,1622479549,106,0.48,2333,898,,
7,1622479549,127,1.74,2223,898,,
8,1622479549,148,0.29,1778,898,,
9,1622479549,169,0.10,1745,898,,
10,1622479549,190,0.27,2231,898,,
11,1622479549,212,0.26,2264,898,,
12,1622479549,233,-0.07,65535,898,,
13,1622479549,254,0.05,5201,898,,
14,1622479549,275,0.05,5201,898,,
15,1622479549,296,0.05,5201,898,,
16,1622479549,318,-0.07,65535,898,27.60,54
17,1622479549,341,0.35,5607,898,,
18,1622479549,362,0.07,2343,898,,
19,1622479549,383,0.34,5201,898,,
20,1622479549,404,0.40,4693,898,,
21,1622479549,426,0.43,5333,898,,
22,1622479549,447,0.07,2897,898,,
23,1622479549,468,0.30,4310,897,,
24,1622479549,489,0.27,4412,897,,
25,1622479549,511,0.26,4558,898,,
26,1622479549,532,0.26,4636,898,,
27,1622479549,553,0.28,4525,897,,
28,1622479549,574,0.30,4394,897,,
29,1622479549,595,0.31,4403,897,,
30,1622479549,617,0.31,4403,897,,
31,1622479549,638,0.31,4500,897,,
32,1622479549,659,0.31,4412,897,26.20,54
33,1622479549,682,0.31,4439,897,,
34,1622479549,703,0.31,4500,897,,
35,1622479549,725,0.31,4412,897,,
36,1622479549,746,0.31,4403,897,,
37,1622479549,767,0.30,4483,897,,
38,1622479549,788,0.30,4403,897,,
39,1622479549,809,0.30,7106,897,,
40,1622479549,831,0.30,7106,897,,
41,1622479549,852,0.30,7106,897,,
42,1622479549,873,0.30,7106,897,,
43,1622479549,894,0.30,7106,897,,
44,1622479549,916,0.37,5201,897,,
45,1622479549,937,0.37,5201,897,,
46,1622479549,958,0.37,5201,897,,
47,1622479549,979,0.37,5201,897,,
48,1622479549,1000,0.37,5201,897,24.60,55
49,1622479549,1024,0.30,7106,897,,
50,1622479549,1045,0.37,5201,897,,
51,1622479549,1066,0.19,9011,897,,
52,1622479549,1087,0.19,9011,896,,
53,1622479549,1108,0.37,5201,896,,
54,1622479549,1130,0.37,5201,897,,
55,1622479549,1151,0.30,7106,896,,
56,1622479549,1172,0.19,9011,896,,
57,1622479549,1193,0.19,9011,896,,
58,1622479549,1215,0.19,9011,896,,
59,1622479549,1236,0.19,9011,896,,
60,1622479549,1257,0.19,9011,896,,
61,1622479549,1278,0.19,9011,896,,
62,1622479549,1299,0.19,9011,896,,
63,1622479549,1321,0.19,9011,896,,
64,1622479549,1342,0.19,9011,896,23.50,57
65,1622479549,1365,0.30,7106,896,,
66,1622479549,1386,0.19,9011,896,,
67,1622479549,1407,0.25,5994,896,,
68,1622479549,1429,0.25,5994,896,,
69,1622479549,1450,0.19,9011,895,,
70,1622479549,1471,0.25,6194,896,,
71,1622479549,1492,0.30,7106,896,,
72,1622479549,1513,0.26,6194,896,,
73,1622479549,1535,0.25,5994,896,,
74,1622479549,1556,0.30,7106,895,,
75,1622479549,1577,0.19,9011,895,,
76,1622479549,1598,0.30,7106,896,,
77,1622479549,1620,0.25,6194,895,,
78,1622479549,1641,0.30,7106,895,,
79,1622479549,1662,0.28,5726,895,,
80,1622479549,1683,0.26,6153,895,22.80,58
81,1622479549,1706,0.26,6153,895,,
82,1622479549,1728,0.32,5104,895,,
83,1622479549,1749,0.26,6153,895,,
84,1622479549,1770,0.26,6360,895,,
85,1622479549,1791,0.26,6194,895,,
86,1622479549,1812,0.30,7106,895,,
87,1622479549,1834,0.26,5933,895,,
88,1622479549,1855,0.19,9011,895,,
89,1622479549,1876,0.19,9011,895,,
90,1622479549,1897,0.19,9011,895,,
91,1622479549,1919,0.19,9011,895,,
92,1622479549,1940,0.19,9011,895,,
93,1622479549,1961,0.19,9011,895,,
94,1622479549,1982,0.19,9011,895,,
95,1622479549,2003,0.19,9011,895,,
96,1622479549,2025,0.19,9011,895,22.30,59
97,1622479549,2048,0.19,9011,895,,
98,1622479549,2069,0.19,9011,895,,
99,1622479549,2090,0.19,9011,895,,
100,1622479549,2111,0.19,9011,895,,
101,1622479549,2133,0.19,9011,895,,
102,1622479549,2154,0.19,9011,895,,
103,1622479549,2175,0.25,5994,895,,
104,1622479549,2196,0.19,9011,895,,
105,1622479549,2218,0.19,9011,895,,
106,1622479549,2239,0.19,9011,895,,
107,1622479549,2260,0.19,9011,895,,
108,1622479549,2281,0.19,9011,895,,
109,1622479549,2302,0.19,9011,895,,
110,1622479549,2324,0.19,9011,895,,
111,1622479549,2345,0.19,9011,895,,
112,1622479549,2366,0.19,9011,895,21.90,60
113,1622479549,2389,0.19,9011,895,,
114,1622479549,2410,0.19,9011,895,,
115,1622479549,2432,0.19,9011,895,,
116,1622479549,2453,0.19,9011,895,,
117,1622479549,2474,0.19,9011,894,,
118,1622479549,2495,0.19,9011,895,,
119,1622479549,2516,0.19,9011,894,,
120,1622479549,2538,0.19,9011,894,,
121,1622479549,2559,0.19,9011,894,,
122,1622479549,2580,0.26,6194,894,,
