boot,ts,seconds,voltage,lux,kelvin,temp,humidity
0,1621012489,3,832,2.72,2164,21.00,57.10
1,1621012499,41,824,3.26,2150,0.00,0.00
2,1621012543,41,906,0.01,5201,0.00,0.00
3,1621012543,82,906,0.17,3213,0.00,0.00
4,1621012543,123,906,0.14,2732,0.00,0.00
5,1621012543,164,906,0.17,2515,0.00,0.00
6,1621012543,205,906,0.18,2519,0.00,0.00
7,1621012543,246,906,0.18,2519,0.00,0.00
8,1621012543,290,906,0.18,2541,22.00,53.50
9,1621012543,331,906,0.11,5201,0.00,0.00
10,1621012543,372,906,0.11,5201,0.00,0.00
11,1621012543,413,906,0.11,5201,0.00,0.00
12,1621012543,454,906,0.11,5201,0.00,0.00
13,1621012543,495,906,0.11,5201,0.00,0.00
14,1621012543,537,906,0.11,5201,0.00,0.00
15,1621012543,578,906,0.13,3296,0.00,0.00
16,1621012543,621,906,0.13,3296,21.70,52.20
17,1621012543,662,906,0.13,3296,0.00,0.00
18,1621012543,703,906,0.13,3296,0.00,0.00
19,1621012543,744,906,0.13,3296,0.00,0.00
20,1621012543,786,905,0.13,3296,0.00,0.00
21,1621012543,827,905,0.23,2661,0.00,0.00
22,1621012543,868,905,0.23,2661,0.00,0.00
23,1621012543,909,905,0.23,2661,0.00,0.00
24,1621012543,952,905,0.23,2661,21.20,52.60
25,1621012543,993,905,0.16,5201,0.00,0.00
26,1621012543,1035,905,0.28,3296,0.00,0.00
27,1621012543,1076,905,0.16,5201,0.00,0.00
28,1621012543,1117,905,0.28,3296,0.00,0.00
29,1621012543,1158,905,0.28,3296,0.00,0.00
30,1621012543,1199,905,0.28,3296,0.00,0.00
31,1621012543,1240,905,0.23,2661,0.00,0.00
32,1621012543,1284,905,0.13,3296,21.00,54.30
33,1621012543,1325,905,0.13,3296,0.00,0.00
34,1621012543,1366,905,0.13,3296,0.00,0.00
35,1621012543,1407,905,0.11,5201,0.00,0.00
36,1621012543,1448,904,0.11,5201,0.00,0.00
37,1621012543,1489,905,0.11,5201,0.00,0.00
38,1621012543,1531,905,0.11,5201,0.00,0.00
39,1621012543,1572,904,0.11,5201,0.00,0.00
40,1621012543,1615,903,0.11,5201,20.50,60.40
41,1621012543,1656,903,0.05,5201,0.00,0.00
42,1621012543,1697,903,0.05,5201,0.00,0.00
43,1621012543,1738,904,0.05,5201,0.00,0.00
44,1621012543,1780,903,0.05,5201,0.00,0.00
45,1621012543,1821,903,0.05,5201,0.00,0.00
46,1621012543,1862,903,0.05,5201,0.00,0.00
47,1621012543,1903,903,0.05,5201,0.00,0.00
48,1621012543,1946,903,0.05,5201,19.70,63.90
49,1621012543,1987,903,0.05,5201,0.00,0.00
50,1621012543,2029,903,0.05,5201,0.00,0.00
51,1621012543,2070,903,0.05,5201,0.00,0.00
52,1621012543,2111,903,0.05,5201,0.00,0.00
53,1621012543,2152,903,0.05,5201,0.00,0.00
54,1621012543,2193,903,0.05,5201,0.00,0.00
55,1621012543,2234,903,0.05,5201,0.00,0.00
56,1621012543,2278,902,0.05,5201,19.30,65.70
57,1621012543,2319,903,0.05,5201,0.00,0.00
58,1621012543,2360,902,0.05,5201,0.00,0.00
59,1621012543,2401,902,0.05,5201,0.00,0.00
60,1621012543,2442,902,0.05,5201,0.00,0.00
61,1621012543,2483,902,0.05,5201,0.00,0.00
62,1621012543,2525,902,0.05,5201,0.00,0.00
63,1621012543,2566,902,0.05,5201,0.00,0.00
64,1621012543,2609,902,0.05,5201,19.00,66.80
65,1621012543,2650,902,0.05,5201,0.00,0.00
66,1621012543,2691,902,0.09,65535,0.00,0.00
67,1621012543,2732,902,0.05,5201,0.00,0.00
68,1621012543,2774,902,0.05,5201,0.00,0.00
69,1621012543,2815,902,-0.07,65535,0.00,0.00
70,1621012543,2856,902,0.09,65535,0.00,0.00
71,1621012543,2897,902,0.05,5201,0.00,0.00
72,1621012543,2940,901,-0.07,65535,18.90,68.00
73,1621012543,2981,902,-0.07,65535,0.00,0.00
74,1621012543,3022,902,0.09,65535,0.00,0.00
75,1621012543,3064,902,0.05,5201,0.00,0.00
76,1621012543,3105,902,-0.07,65535,0.00,0.00
77,1621012543,3146,902,0.08,3677,0.00,0.00
78,1621012543,3187,902,0.08,3677,0.00,0.00
79,1621012543,3228,901,0.08,3677,0.00,0.00
80,1621012543,3271,900,0.08,3677,18.70,69.30
81,1621012543,3313,900,0.06,3931,0.00,0.00
82,1621012543,3354,901,0.06,3931,0.00,0.00
83,1621012543,3395,900,0.05,5201,0.00,0.00
84,1621012543,3436,900,0.05,5201,0.00,0.00
85,1621012543,3477,900,0.05,5201,0.00,0.00
86,1621012543,3518,900,0.05,5201,0.00,0.00
87,1621012543,3560,900,0.05,5201,0.00,0.00
88,1621012543,3603,900,0.05,5201,18.60,69.70
89,1621012543,3644,900,0.05,5201,0.00,0.00
90,1621012543,3685,900,0.05,5201,0.00,0.00
91,1621012543,3726,900,0.05,5201,0.00,0.00
92,1621012543,3767,900,0.06,3931,0.00,0.00
93,1621012543,3809,900,0.08,3677,0.00,0.00
94,1621012543,3850,900,0.08,3677,0.00,0.00
95,1621012543,3891,900,0.08,3677,0.00,0.00
96,1621012543,3934,898,0.08,3677,18.60,70.60
97,1621012543,3975,900,0.08,3677,0.00,0.00
98,1621012543,4016,900,0.08,3677,0.00,0.00
99,1621012543,4058,900,0.08,3677,0.00,0.00
100,1621012543,4099,900,0.08,3677,0.00,0.00
101,1621012543,4140,900,0.08,3677,0.00,0.00
102,1621012543,4181,900,0.08,3677,0.00,0.00
103,1621012543,4222,900,0.08,3677,0.00,0.00
104,1621012543,4265,898,0.08,3677,18.60,71.10
105,1621012543,4307,898,0.08,3677,0.00,0.00
106,1621012543,4348,898,0.06,3931,0.00,0.00
107,1621012543,4389,898,0.05,5201,0.00,0.00
108,1621012543,4430,898,0.05,5201,0.00,0.00
109,1621012543,4471,898,0.05,5201,0.00,0.00
110,1621012543,4512,898,0.05,5201,0.00,0.00
111,1621012543,4554,898,0.05,5201,0.00,0.00
112,1621012543,4597,898,0.05,5201,18.50,70.80
113,1621012543,4638,898,0.05,5201,0.00,0.00
114,1621012543,4679,898,0.05,5201,0.00,0.00
115,1621012543,4720,898,0.05,5201,0.00,0.00
116,1621012543,4761,816,0.05,5201,0.00,0.00
117,1621017298,41,897,0.05,5201,0.00,0.00
118,1621017298,82,898,0.05,5201,0.00,0.00
119,1621017298,123,897,0.05,5201,0.00,0.00
120,1621017298,166,897,0.04,5201,18.50,71.00
121,1621017298,207,898,0.04,5201,0.00,0.00
122,1621017298,249,897,0.04,5201,0.00,0.00
123,1621017298,290,897,0.05,5201,0.00,0.00
124,1621017298,331,897,0.05,5201,0.00,0.00
125,1621017298,372,897,0.05,5201,0.00,0.00
126,1621017298,413,897,0.05,5201,0.00,0.00
127,1621017298,454,897,0.05,5201,0.00,0.00
128,1621017298,498,897,0.05,3677,18.40,70.90
129,1621017298,539,897,0.08,3677,0.00,0.00
130,1621017298,580,897,0.08,3677,0.00,0.00
131,1621017298,621,897,0.08,3677,0.00,0.00
132,1621017298,662,897,0.08,3677,0.00,0.00
133,1621017298,703,897,0.10,3931,0.00,0.00
